comment_copy,final_sentiment
this phone is very good only one thing that i give it 4 srtar that it contains only one camera instead in his product photo they show that they contain 3 cameras otherwise it's a good product,positive
ordered black color but delivered white color so lite blue,negative
phone hangs sometimes,negative
getting heated while charging and taking 4 5 hours for charging,negative
Installation was easy.,neutral
little confusion in locating the app driver files storage location,positive
fingerprint is good face unlock is very nice battery or camera quility good,positive
camera performance very bad,negative
It does what it's supposed to.,neutral
nice phone with nice specs,positive
Average performance.,neutral
good phone with awesome battery and display but the phone lags some time snd the animation sutters the fingerprint reader is very poor and need to be improved over all good phone not great,positive
a good cell phone with useful features long battery life and a large memory 128gb budget phone with superb features,positive
i exchanged my note 7 pro but this is very worst than old mobile that has a super quality camera 48 mp but this has 50 mp works lika 2mp camera only hood thing is battery backup worst experience,negative
Packaging was decent.,neutral
great experience worth buying,positive
it is good to know that this movie was made on a budget of this size i have tried many but this one is simply value for money,positive
average,neutral
the worst of the best phones please never buy this phone because i have experienced worse than bad battery and camera it is too slow a device the fingerprint does not recognize and it stops working after 15 days,negative
good cameragood lookinglong tym batteryi impresd,positive
i'm using this mobile from 1 month automatic false notification false ringtone problem i found avarage mobile like other chinese mobile not recommended little heating issue,negative
phone lags a little bit for a normal use it's good not for gaming or heavy usage,negative
the phone is good it does what it supposed to do as you expect from a xiaomi phone the one factor in which it fails is the camera as per specs the phone has a 50mp camera but unfortunately it can not,negative
processor not good lagging problem apps directly cut and back to men menu and not for gaming also too much lagging,negative
nothing specific to call out which stands out uniquely in this phone have been using it for 3 months and pretty satisfied with its performance,neutral
i you have 9000 rupees and want to buy smartphone which have 4gb ram and 64 gb storage please don't buy this smartphone go with any other smartphones other then redmi because after some time this phone will,negative
Packaging was decent.,neutral
battery charges in 20min soft touch screen clear display faster ram so no hanging overall good phone,positive
as per price phone is good,positive
the front cam is the worst even the phones with vga camera would do a better job than this,negative
the camera is on the phone don't steal money for a good movie vivo is a good phone oppo is a bad phone oneplus is the best phone oneplus has the best camera,positive
decent camera quality battery life is not good in terms of what company claims touch response is average not at all what company claims ram management is decent not a gaming phone processor is not capable to handle heavy gaming as well you can,negative
the phone is looking very good but the camera quality is very poor the phone hangs sometimes and is very slow the battery is good and charges very fast,negative
Average performance.,neutral
dont ever buy this phone its very bad iplay pubg and it didnot support gyroscope its so delay and battery performance also not good this should cost 6000 useless oppo,negative
good working fingerprint and face lock battery charger only 20 to 25 min,positive
phone is perfect buy it without even a single thought,positive
not display shows,negative
i think the z6 5g phone is good but it hangs a lot for me so you think you should buy it under 14000 i think it is good phone,positive
good phone for gaming design a bit outdated with big bezels and a notch they could have added faster charger camera is average,positive
i couldn't like it bcoz of its poor water resistence quality i bought it on dec 2020 but the working system of this disturbed on march 2021 within a period of 2 3 months,negative
don't buy any mi phones you may face so many problems after each and every updetes every new update comes with new problems then also you want to buy then please review any mi users near you not online,negative
ph size,positive
fingerprint accuracy good battery life average camera quality good,positive
phone hanged problems very slow performance,negative
not the best,negative
found really good asthetic look with high level of hardware performance camera quality is one of the best in day time as well as in dark battery life is one of the best with quick charging support more than valur product i took rational,positive
Installation was easy.,neutral
Received the product on time.,neutral
everything's are good but camera quality is not to much good as samsung brand expect better camera and camera sensor from samsung,negative
fast charginglag free interfaceworks like charm,positive
purchased on 25 12 2021 volume problem not working properly no product support available,negative
Received the product on time.,neutral
Looks are simple.,neutral
superb phone with good features it's battery back up is amazing excellent product,positive
finger print and face read doesn't work at all,negative
Installation was easy.,neutral
love it too much,positive
Battery life is neither good nor bad.,neutral
Camera quality is acceptable.,neutral
Camera quality is acceptable.,neutral
i got this device at 19k after exchange your old device offer it was a terrific purchase iam really happy with this device at the price that i got,positive
good one,positive
not a good phone as such no proper security i have experienced that anyone can open the phone even after having the security face lock having issues with the warranty as well cable club seems to be of no use,negative
phone was not good when i request for return from 23 oct started pickiup and still in process they give me date date date wrost experience i had from amazon not expected,negative
The display is fine.,neutral
Average performance.,neutral
phone hanging operating features not good,negative
there is a heating problem after using 1 or 2 hour continuously other than these factor everything is fine with me,negative
It does what it's supposed to.,neutral
No major issues so far.,neutral
all are found ok but my mobile automatically bend what can i do,positive
i always buy redmi products 10prime they offered the choice in mid budget price 90hz was great in this phone camera quality is excellent,positive
No complaints till now.,neutral
nice performance mobile,positive
the paint work is not good bcz it's easily scratch with small things which can visible and looks soo bad otherwise the battery performance camera performance and software is exllent,negative
Packaging was decent.,neutral
not up to the mark,negative
worst battery,negative
good phone under 13000 camera is way too mediocre,positive
Performance is satisfactory.,neutral
battery backup is superb and fast charging,positive
working good,positive
battery life is good,positive
while using the phone hangs so much even on normal usage sometimes the screen doesn't respond and only responds after turning on off the display this is from 2 months of normal usage,negative
No major issues so far.,neutral
Camera quality is acceptable.,neutral
i like samsung phones specially m series because of their battery backup and this product is very good and camera quality is far better than other mobiles must buy,positive
i think this is the best smartphone from oppo in this price range i remembered when the 2nd lockdown was given this phone was very expensive in offiine market but not good for high level gaming purposes,positive
the whole phone is problematic,negative
display not good camera quality is not great overall good,positive
superb mobile in performance running smoothly battery performance not good camera quality good charger not available in box,positive
very bad battery life,negative
camera quality is vary poor and charging is very slow,negative
Feels okay to hold.,neutral
decent mobile in this budget but don't expect camera and other feature if you want real one plus feel you can buy it,negative
"Just started using it, will update later.",neutral
the features like customisation is not their as expected some bugs their while playing the game camera is good expectations are their to updates will be provided and bugs and other things will be fixed soon,negative
the charging adaptor is missing,negative
thanks for amazon good mobile oppoand good sarvice background,positive
i was confused about buying realme 9 pro vs nord ce 2 finally i bought nord ce2 best mid range smartphone good internet speed wifi and operation speed camera is not bad worth buying for 2500,positive
Build quality is moderate.,neutral
fingerprint reader lagging battery life poor face recognition lagging,negative
It does what it's supposed to.,neutral
i like it's processor back design battery life but i hate it's camera not good in low light and in night mode is also removed from 128 4 varient front camera and design is also bad,negative
this mobile phone's name is redmi note11 but working feelings redmi note 4 5 and redmi note 6 like this model chinese mobile phone only name is new and working is old one don't buy this mobile phone hang,negative
Camera quality is acceptable.,neutral
no one is better than this for rs13499,positive
finger print reader is not good,negative
The device is okay for daily use.,neutral
the slow motion camera quality is dull,negative
not bad but battery life is not good,negative
No complaints till now.,neutral
feeling cheated by miworst camera at this price i had ordered for my wife her only expectation with phone was good camera quality i had never seen such bad images from a mi mobile camera me and my family had been using mobiles from note,negative
processor is quite slow since i am using this for study and huge storage,negative
i would like to share my experience the processor is so powerful that it is difficult to buy a phone with only a processor i was very disappointed when i found out that the phone did not have a camera be careful when purchasing because the camera,negative
this is not a great phone for a gamer like me to be honest the fingerprint sensor is not accurate and never unlocks in the first attempt the camera is good but it doesn't provide details images what can you expect from two 2,negative
1 face scanner not working proper for sometime2 hanging problem available,negative
No major issues so far.,neutral
super nice,positive
ok i give a presentation to my wife i know very well for the six months for 8 month mobile will work 100 good after it will know what is a problem coming this is my experience in my life this is the seventh mobile,positive
i disliked the battery specially but overall product is good,positive
"Just started using it, will update later.",neutral
Average performance.,neutral
phone is fast display is good,positive
nothing to dislike thanks to team amazon,positive
Performance is satisfactory.,neutral
good phone in this price,positive
back front camera damage,negative
Performance is satisfactory.,neutral
remove google dialer or remove call record notification,negative
The display is fine.,neutral
Build quality is moderate.,neutral
nice mobile but i miss my mobile that day only,negative
nice mobile in this price,positive
the phone is value for money,positive
awesome phone and it is easy to use,positive
not a good phone sounds very low room inside phone not a good quality of sounds software is not too friendly,negative
hang problem,negative
No complaints till now.,neutral
The phone works as expected.,neutral
The device is okay for daily use.,neutral
the samsung galaxy m32 is a perfect phone for an excellent piece of sirf phone does not have fast charging,positive
camera quality of phone is worst outherwise but redmi have to improve camera quality very disappointed,negative
great display great audio output battery life and fast charging are nice if u r not a serious gamer and looking for multimedia consumption with great display and battery life go for it camera not upto the mark okish,positive
camera quality is very poor totally wrost,negative
Packaging was decent.,neutral
Camera quality is acceptable.,neutral
The display is fine.,neutral
camera quality is very poor,negative
i bought this phone for my wife as she is not a heavy user only whatsapp and insta user the phone has an amazing screen battery is also amazing camera s are average but down part is the processor of the phone it,negative
not able speak at this time give some time for usage,negative
honestly i can say again it's one more in my budget phone for my family member they love it on there birthday on time thanks for delivery on time and easy payment mode,positive
volume down and camra rong with you,negative
Camera quality is acceptable.,neutral
very good device at this price point better than competitors go for it without second thoughts,positive
super phone from mi,positive
mobile,positive
camera quality is worst,negative
awesome product,positive
no anything that dislike,neutral
everything is fine but i felt while charging it gets heated,negative
very nice phonecamera is also good,positive
the camera quality is the worst and because of it the bascode scanner is not working properly the phone itself is not bad but the camera is holding it back,negative
1 camera this price range good 2 battery charging speed and consumption very good 3 sound quality ok 4 display outstanding 5 processor this price range ok 6 one hand usage handling easy,positive
pls don't purchase this mobile phone,negative
Performance is satisfactory.,neutral
the phone is the worst cheap product the charging time is more than 2hr and back to the bad product that is not able to fall in water with the return policy of 7 days is a very bad product please remove it from the amazon list,negative
i love this beast in reasonable price camera quality is really great screen resolution is far far clear and colour full battery is strong light weight compact size all required smart phone features are build in the phone good job samsung team,positive
pubg lag and device hang issue recording main issue,negative
worst products don't buy very slow phone my money is full waste,negative
looking good,positive
awesome display and software camera quality is good also but rest is crap cant play cod and build quality is so bad accidentally splashed some water and it damaged totally no help from service centre only paid service which wil cost above 8k,negative
best work,positive
good v good,positive
cam quality is a little bit low but okphone is very good every thing is ok with it,positive
after an one month of review phone is not worthy for heavy multi task basically i am average user used to play videos and attend team meetings and play simple games for me it's good in this budget i bought this one,negative
good camera quality best mobile phone but sounds slightly low,positive
The display is fine.,neutral
showing bluetooth headphones free but not getting bluetooth headphones with mobile purchase,negative
mobile will be too slow like used mobile after 1 year so be careful to buy it,negative
very bad quality very bad quality batterybad camera looks like used mobile delivery is not at time delivery boy not picking phone,negative
get the phone guys,negative
The display is fine.,neutral
camera is flagship,positive
charger old d type and charging does not go fast,negative
Installation was easy.,neutral
processor speed very well rom ram is average in this price range something heat issue same to other mi mobiles,neutral
Performance is satisfactory.,neutral
good for daily usage software is really good that makes the smartphone snappy and gives really good experience camera good enough to click even in night also battery its really good for long hours no heating issue fast charging not supported no,positive
Camera quality is acceptable.,neutral
Packaging was decent.,neutral
camara quality is nice,positive
guys careful of darshita electronics i suspect he is selling refurbished phones under exchange both redmi phones i purchased have turned out to be faulty and show someone else mi account logged in,negative
value for money this phone will not disappoint you at this cost,positive
No major issues so far.,neutral
The device is okay for daily use.,neutral
nice mobile but camera result not fine,negative
the camera quality is terrible,negative
Average performance.,neutral
at first it was working but after two days the sensor is not working disappointed,negative
not good at home people don't like and want to go back home please help us to get out home please,negative
like battery charging time 1hrz and 30 mnt displa design displaydislike camera redmi i request you please give update and correct it as soon as possible,negative
good experience,positive
worest phone i ever purchased ram management is so poor you cant use even 2 apps same time processer is so week,negative
not upto the mark sailent features like music player automatic pdf generator photo collage and some of the features not available compare with vivo mobiles finally disappointed,negative
best in price or class,positive
The device is okay for daily use.,neutral
the camera does not have a watermark there is no facility to take photos with fingerprint sensor,negative
the oppo smartphone has a good battery life the sound and camera quality is worth the money spend to buy the product amazon delivery was early than expected with out any damages,positive
The display is fine.,neutral
all is well but the battery charge service is very low,negative
Feels okay to hold.,neutral
camera is good and phone interface is also nice and clean better than xiaomi,positive
redmi 9 4gb ram 64gb storage delivered by amazon on 4th aug first two week worked properly but after that started facing below 2 issues 1 this mobile is unable to detect any sim,negative
the phone exceeded my expectations the battery life is amazing the screen is good the user interface is clean and good games like battlegrounds india run without a hitch and the phone feels premium on hand as well i am completely satisfied by,positive
at this range it's a decent i'll say,positive
Battery life is neither good nor bad.,neutral
this is the worst mobile i ever seen in my life i totally hate this never buy this mobile ever it's the worst money i spent ever,negative
the camera quality is very bad but the battery life is so good and charging is very slow take 2 hour for 100 charging,positive
"Nothing special, just a regular phone.",neutral
mobile a31oppo dislike,negative
excellent mobile budget,positive
Build quality is moderate.,neutral
No major issues so far.,neutral
Battery life is neither good nor bad.,neutral
camera quality is so poor don't buy,negative
great camera quality even in dim light good battery it runs for two days without charging it's a value for money phone,positive
Installation was easy.,neutral
great display good battery backup con is that it hangs very easily on multitasking,negative
improve battery capacity,positive
It meets my basic needs.,neutral
It meets my basic needs.,neutral
what has happened to one plus it's just a phone with good looks with average colour os with oxygen skin not what i thought,positive
worth purchasing,positive
don't buy it,negative
this phone calling feature is not working properly voice gets break while voice calls i want to return the phone,negative
i found network problem in phone from day 1 after checked by service center they ask me to change some hardware it's refurbished or new mobile really very bad experience with samsung never buy samsung,negative
i love it it's a good phone the screen size is perfect the camera is good for this price range,positive
please don't buy this mobile charging not work and no solution provided by amazon,negative
i like this phone but charging speed is only 18 watt i already knowed charging speed of this phone but i don't know about missing charger in this device since i disliked this phone because i purchased charger separately on mobile shop,negative
headset port in not working and volume baten is not work mi 9 case and temper class low prices offers send,negative
i'm surprised with its battery backup extremely happy super touch and camera,positive
when you compare with samsung m52 with same price tag you feel incomplete for wide range and front camera the size could be better if it would be 6 5 inches overall handy and lightweight,negative
Camera quality is acceptable.,neutral
battery is good but camera not slow phone don't expect fast performance,negative
Camera quality is acceptable.,neutral
good battery life camera quality and big screen best product in low price,positive
some times feel slow operationike other samsung phones but not like disappointing level great display good camera big 2 days battery with normal use and with heavy duty users can use this phone almost 12 hrs with display on condition,positive
Performance is satisfactory.,neutral
not worthy for 8999 battery capacity is not upto the mark screen scrolling is always laggy even the company creates a replacement policy of a few days so that a customer could not replace this mobile good job amazon employees u guys suck,negative
the battery on mobile doesn't last long and the camera quality is pretty bad anywhere but the 50 mp,negative
Camera quality is acceptable.,neutral
Looks are simple.,neutral
the quite good some of its performance is worst hanging problem and sensor reading problem,positive
battery is not good,negative
thanks awesome,positive
no not satisfied with the product,negative
cant tell,neutral
the product is not new and seems to be a refurbished phone the quality of audio is super bad hangs all the time please do not purchase this phone online,negative
fingers print best face indityf goodproduct good quality far light waight andeasily slide optional best and easily good,positive
quite nice and enjoyable screen quality when watch hd video satisfactory battery life touch experience performance is also quite likable in this budget,positive
The device is okay for daily use.,neutral
within around a month of buying this mobile phone its touch has stopped working and the worse part is the phone wont be replaced now only repaired everybody knows how well the repaired sets work i so regret buying this trash of a phone,negative
everything went well until i opened the camera seriously are you sure it have 64mp cam wow it's a freaking scam can't believe i payed 25k for the crap don't get me wrong display is,negative
i love this phone as it has 4gb ram which is very good at this rate but it's charging speed is very slow which upset me,negative
Battery life is neither good nor bad.,neutral
"Nothing special, just a regular phone.",neutral
this phone overall a disaster,negative
No complaints till now.,neutral
Packaging was decent.,neutral
good mobile,positive
"Just started using it, will update later.",neutral
Camera quality is acceptable.,neutral
i don't know get headset in the box really dispointed with it,negative
phones get hot fast,negative
It does what it's supposed to.,neutral
Packaging was decent.,neutral
i used to have the poco f1 before buying this phone and it was an experience this phone lags a lot can't believe it's 6 gb ram looks like the processor is weak phone lags even during normal,negative
fingerprint is very fast or battery use is very nice and camera quality is good but need more in camera feature,positive
display not work profar,negative
Battery life is neither good nor bad.,neutral
"Just started using it, will update later.",neutral
the phone's display and camera are not upto the mark what i've expected from oneplus it's a lower segment feel after paying 25k if i know this thing i'm gonna go with realme or mi or iq in under,negative
not important phonecamera not goodsalfey cemra is lowbattery are goodother also okthank you dear amazon,negative
mobile hang,negative
bought 3 weeks ago touch screen is not that smooth does not respond properly need to click multiple times to perform an operation terrible experience not expected from xiomi i have used multiple redmi phones starting 1s everything was,negative
nice one,positive
It meets my basic needs.,neutral
i like this product,positive
worst experience with oneplus never buy from them again pocket mode not working properly on my oneplus nord ce2 5g whenever i put my mobile in pocket it automatically touches the fingerprint sensor and tries to unlock my mobile finally it shows maximum,negative
good performance battery camera,positive
Installation was easy.,neutral
Camera quality is acceptable.,neutral
Installation was easy.,neutral
Build quality is moderate.,neutral
this phone is reminder me the back days when we used nokia phones the ruff and tuff well it's surely be a long lasting as i already have one most important thing is that this is the best mobile in this category below 1,positive
Build quality is moderate.,neutral
this phone feels like a solid product the os is nice and clean im coming from stock android the charging speed is amazing the screen bright smooth and responsive cameras decent inscreen finger print sensor is fast well balanced weight,positive
it is useless product every time hanging,negative
great mobile at great price,positive
Camera quality is acceptable.,neutral
overall value for money super quality phone in this price,positive
It meets my basic needs.,neutral
wow good mobile for low cost fastest delivery safe packing overall very good,positive
Average performance.,neutral
very bad product camera is also bad hanging problem,negative
one of the best phones in this price and camera is awesome,positive
i dont like camera quality and display also i have redmi 6 and it has good camera and display,negative
Feels okay to hold.,neutral
display and battery e it was ok,positive
overheating and wrong bill was send redmi9 2gb 32gb instead of redmi9 4gb 64gb,negative
yes really value for money,positive
not good,negative
Received the product on time.,neutral
Camera quality is acceptable.,neutral
finger print reader is nice but camera of this phone is not that much good then i expect the battery is dam good,negative
Installation was easy.,neutral
i like it and very fast service and awesome service fast delivery service is very good i like to thanks,positive
not charging charger problem how to contact you p l e a s e t el l me,negative
good phone for this budget feature is also good camera is good if you compare phone in this price but everyone knows it will hang a lot after all it is chinese phone we don't have any option to buy a good phone in,positive
The display is fine.,neutral
camera quality poor sound poor looks average hanging,negative
mobile is ok but battery is average,neutral
battery performance is good but camera quality is lover then average,positive
the camera quality is not as 13 mega pixel the camera quality is poor,negative
not a value of money lot of information missing in photos not recommended to buy,negative
just awesome,positive
Packaging was decent.,neutral
camera best look is perfect little issue with battery however depend on usage charging is superfast,positive
to improve the fingerprint sensor is there a way to have all mobile phones have a side fingerprint up to 41k it's only side fingerprint so upgrade the mobile phone,positive
no camera,negative
camera quality not good,negative
value of money,positive
this is a good phone at 13k and better than samsung phones under 20k camera is quite good the uwa camera is 8 mp which is decent added photos of uwa wa and 2x zoom,positive
i am suggest for that because nothing good product in these price,negative
mobile performance is good,positive
very good quality superb product in this range,positive
nice big screen phone within good budget,positive
Build quality is moderate.,neutral
The device is okay for daily use.,neutral
Average performance.,neutral
there is no other phone available at this price which comes with 4gb ram you should go ahead with this,positive
the phone gets heated soon i was not able to return to amazon due to medical issues and now my wife and baby is facing problem dealing with the phone,negative
all good but battery drain very fast,positive
It does what it's supposed to.,neutral
Battery life is neither good nor bad.,neutral
don't waste your money on this phone it doesn't work on 5g wifi when you call customer support zero support amazon better shift to other service,negative
"Nothing special, just a regular phone.",neutral
good products,positive
i dont use it for games justbrowsing calls and social mediaworks very wellexcellent batterylast me 3 days for light usage1 hour each ofcall video streaming and chat,positive
mobile phone to come smile my cousin daughter with her online study time good time,positive
it is very burst produst and waste of money,negative
Performance is satisfactory.,neutral
product is good please send mobile bill for our future reference,positive
i made a big mistake in my life by buying this,negative
nice in budget awesome look nice camera result best in performance too good in best quality sound nice in selfie,positive
Installation was easy.,neutral
camera not satisfactory,negative
Received the product on time.,neutral
just like average,neutral
satisfactory,positive
fingerprint fantastic,positive
The phone works as expected.,neutral
better than better battery backup and camera and fingerprint,positive
awesome phone loved its features camera quality is superb,positive
Average performance.,neutral
worth for money,positive
like this,positive
it has 6 4 inches screen it makes mobile easy to hold the camera is decent for regular usage it is a good phone miui 13 simply superb i wrote this review after 1 month usage you want,positive
No complaints till now.,neutral
product is good good packaging and on time delivery but camera is not at all good don't buy just because it has triple cameras display and everything is really appreciable,negative
very new and excellent handset to use the reason i gave 3 star even though it is 5 star for all features is that there were some items missing in the box like sim ejector i wish i could get it without handset,positive
i don't like the camera come on i mean i got samsung too with 16 megapixel it's better then one plus nord ce2 to be honest but you can't expect everything over all i ll rate it 9,negative
Build quality is moderate.,neutral
the camera quality is too low it's not a 50mp camera the refresh rate is too slow other than that the phone is good,negative
camera quality camera options are so few even after having multiple cameras,negative
everything is good but the selfie camera is not good,positive
hanging issue,negative
should have better sound and camera,negative
Performance is satisfactory.,neutral
looks like a great phone for 15749 galaxy a32 has almost same specs but is around 5k more however the seller has put wrong and misleading product information the box has got a simple 10w,negative
very good look weight camera is too good however battery is average,positive
super phone at valuable price,positive
light weight nice pic quality,positive
Looks are simple.,neutral
huge fan of the redmi series but disappointed this time bad camera poor processor and provided 2w charger instead of 10w specified on box i am providing the back of box too not satisfied this time,negative
very good hand set but batary charg not enufhh,negative
average phone for day to day usage,neutral
i took it for my father touch is not responding and phone works very very slow i have done all updates even it works very bad better don't go for it,negative
The phone works as expected.,neutral
the touch panel was not working properly camera average,negative
this phone is not upgraded in terms of latest network requirements it does not support jio 5ghz wifi it still have older wifi connector that doesn't support 802 11 ac,negative
It does what it's supposed to.,neutral
very good phone by looks since 1 and half months i'm using it installed so many apps and using bluetooth earphones constant use of facebook instagram watching movie on prime video it runs smoothly whole day in 100 charging,positive
the battery is good but the print is not good on the print on the video,negative
Camera quality is acceptable.,neutral
Looks are simple.,neutral
"Nothing special, just a regular phone.",neutral
no voice for internet calling if device kept in pocket,negative
Packaging was decent.,neutral
this product is very good for share market all applications are smoothly run even after buy this i have get more benifit in share market,positive
the camera quality is very bad,negative
camera process and all good in this range,positive
same product received but battery backup and charger have problem,negative
bad camera quality,negative
there is no headset why is it so it is well written in box,positive
mobile is very good very good display nice camera and battery back up holding it feels very good and comfortable less budget good specifications,positive
overall nice phone at this budget but there is some issues with ui hope iqoo will rectify by update,positive
No major issues so far.,neutral
software is little slow camera quality is average,negative
the gyroscope is not working properly other than that i am satisfied with the product within this price range,positive
pls don't purchase this mobile my phone display problem purchase on 30 10 21 i was asking customer services they told change new display with money not covered warranty,negative
"Just started using it, will update later.",neutral
It does what it's supposed to.,neutral
nothing in particular,neutral
battery performance is awesome,positive
Battery life is neither good nor bad.,neutral
It meets my basic needs.,neutral
Feels okay to hold.,neutral
takes lots of time for full charging heating issue while charging its' barely one month used and started hanging sometimes besides all good till now,negative
1 camera quality is just average like 15 19k mobile phone doesn't seems like this is oneplus mobile phone camera i have upgraded from redmi note 10 and felt very little improvement in camera 2,neutral
i want to change my phone the net speed is very slow coming in this phone,negative
the selfie camera is a mess i liked my mi note 7,negative
both rear and front cameras are not even good as old keypad phones display is also dull no return policy,negative
Battery life is neither good nor bad.,neutral
wow nice,positive
The device is okay for daily use.,neutral
good mobile,positive
"Just started using it, will update later.",neutral
first of all very poor and late delivery from amazon it took six days to deliver the mobile coming to the mobile build quality is very poor cheap material used to build this mobile touch is not that responsive,negative
not worthy to buy outdated peripherals,negative
the product is good but not for gamer,positive
nice product with good camera and battery life,positive
great product on perfect platform love amazon,positive
purchased this phone on 6 6 2021 within six month the screen of the mobile is facing issues screen getting automatically locked while on call sometimes it getting lock while surfing the speaker volume is too low even on speaker,negative
i want to know about emi,positive
Packaging was decent.,neutral
very bad phone use for 5 minutes hit mobile highly,negative
thank you so much,positive
Speaker output is normal.,neutral
a descent product from samsung that is in a budget and great features and does justice to its price fine print is bit issue as didn't recognise sometimes one can definitely go for it who does not want a chinese brands im giving it,positive
sound clarity very low hanging the mobile camera clarity very poor,negative
Packaging was decent.,neutral
art and awesome,positive
some points to mention herevery poor performance in terms of gaming social appslow quality display seems like i am using an old degraded android phone with new plastic body an honest suggestion to everyone is that never ever try this bullshit,negative
defective product received no resolution done even after 1 month of return request really disappointed with the way amazon is harassing me for 1st time,negative
Battery life is neither good nor bad.,neutral
mobile have technical issues and need support,negative
better item and full value of money,positive
Average performance.,neutral
nice choice its a good piece,positive
"Just started using it, will update later.",neutral
No complaints till now.,neutral
data cable and mobile charger is not available in the box,negative
nice overall in all segments don't compare much go for it,positive
camera quality is worst it is blur battery life is 10 hours without games worst phone don't buy not valid for money,negative
good battery life fin touch qualitysuperb performance and net speed,positive
please don't waste money to purchase this phone it's hangs a lot and product is defect,negative
everything is fine,positive
missing geolocation compass is a bad thing,negative
i love my oppo31 value for money camera quality of this phone is very good wide screen powerful battery,positive
best phone for this price,positive
Received the product on time.,neutral
Packaging was decent.,neutral
i like all features except screen resolution and non available of auto call recording option,negative
phone hangs after installation of too many apps but you can't expect more for this budget overall a value for money,positive
phone has heating issue and nobody came to get back the phone after replacement has placed,negative
Received the product on time.,neutral
amazing phone with some amazing featurs,positive
processor heating problems too bad fps for 3d games like bgmi,negative
It meets my basic needs.,neutral
Average performance.,neutral
keypad not working touch screen not effective no input replacement done working perfect,negative
the phone looks really good but there is a big scratch on the screennot sure weather the screen guard is present or no,negative
bad camera,negative
the camera battery and even charging efficiency is very bad,negative
the gaming impressed video uploaded please watch and buy this mobile,positive
no fast support and hanging mobile,negative
mic is defective and malfunctioning,negative
extremely useless product don't buy it and you can't cancel it they are offering for replace can't expect from amazon negative star,negative
during phone charging time heating observe micro camera quality issue camper with other brand call recoding option not inbilt camper other brand during video call heating phoneuse gps map during overheating only 1,negative
very worst front camera camera users pls don't buy it,negative
the battery life is very low and the fingerprint sensor is not working properly amazon return policy is very hard please return this product and refund my money,negative
Average performance.,neutral
this is really unique phoneunder this price got a wonderful productthanks to amazon,positive
go for it,positive
nice phone for daily usage,positive
m31 is better than m32 i don't like this product will have to use it now for an year anyhow worst part1 finger print sensor on the side 2 mobile phone heaviness 3,negative
mobile is very expensive,negative
good budget phone only camera issue,positive
good phone battery is great comes for 3 day with minimal use and accordingly can last 1 whole day charging is the loser as it takes 3 hours from 0 100 so we have to wait for that other,positive
within 4 days of using it the screen became shaky i am trying to get product support and that does not work terrible purchase,negative
i don't know whether the processor is poor or the hardware but the phone is very slow and i am saying this after 3 week and no games played and memory only 50 occupied i don't recommend,negative
Build quality is moderate.,neutral
awesome products with good products,positive
believe me if you want to buy a camera phone it's the worst phone i ever use i'm sorry i can't buy a camera phone,negative
Feels okay to hold.,neutral
Installation was easy.,neutral
Looks are simple.,neutral
apps are getting closed while doing important tasks file explorer also behaves erroneously social media apps are okay,negative
calulate notification without outo call recorder without manual call recording,neutral
average,neutral
worst camera and features not meet to expectation go with another good product in same range,negative
No major issues so far.,neutral
The display is fine.,neutral
good communication,positive
Battery life is neither good nor bad.,neutral
excellent phone in this price range,positive
