comment_copy,final_sentiment
its been a few days since i bought the phone i faced the issue with audio jack i thought of enjoying the audio personally by attaching the earphones but no sound i can hear initially i thought earphones were the problem and i try to change,negative
the camera is okayish although the night mode and slow mo is quite cool battery life is very long after long screen hour lasts almost 24 hours for me in hand feeling is quite good only the ringer button is absent,positive
i have no point of comparison except for my older oppo a83 2018 model thats an older model and yet very much better than the new one plus i should have gone for an oppo newer model as replacement but wanted,neutral
the camera is so good and very fast phone back look is awesome most important thing is the phone has dedicated memory card slot 3 5 audio jack i think this is the first one plus phone which has the dedicated slot for memory card battery,positive
looking good as per my personal experience i am first time using oneplus so few things will be known to you pro ui excellentdisplay goodsound effectcalling sound audio excellentcamera excellent as per price speed and overall function is good no heating,positive
ves1 good camera2 excellent response to touch3 installation of all apps from previous phone without direct transfer and readiness to use was very good4 input for earphones with wire is designed to take any earphone they,positive
super smooth performance excellent display quality natural color photographs no saturated over sharp images like realme moderate battery max 1 day but charging is ultra fast it took hardly 30 mins to full charge highly recommended for all users don',positive
prosgood displaydecent built designfast biometricconsbattery drains fastcamera is like 2mpno video stabilizationnight videos are very hard to visible because of amoled displaymy experience is totally worst with oneplus nord ce 2,neutral
pros 1 one plus mobile in range of 25k2 resolved some bugs that was in nord 2 3 sound is good and much loud 4 charging is fast just need 25 30,positive
good working fingerprint and face lock battery charger only 20 to 25 min,positive
very poor oneplus series mobile phone nord ce 2 it is very ordinary handset which can be bought in the range of 15k inr oneplus is selling in the name of amoled display i am frankly speaking display is ever,negative
worst phone there is problem in my display green line occured in my phone display display is blurring when i used the phone phone just 2 to 3 days of delivery then i contacted to oneplus customer care and they are saying the software,negative
first of all i wanted to buy a oneplus in the range of 30000 i thought i could go through this model some reviews are like it's not worth buying it still i chose it and i',neutral
i got my product delivered on 27 02 2022 since im using honor 10 flagship kirin 970 chipset phone the performance of dimesity 900 doesnt seemed fast,neutral
my oneplus nord 2 5g nord ce 2 5g connected to broadband wifi now if i receive a call or make a call i can't hear other person voice clearly it's breaking other person also,negative
this is my first one plus phone very much disappointed hanging problem is happening very frequently i am not this phone for gaming as i never play game just using for talking see video whatsup it used hang when i want to,negative
screen curvature at corner crops apps screen looks very small battery backup good quick charging good light weight camera ok display ok no stereo speakers and android 11 out of the box,neutral
i have used it for more than a day and based on that i am writing this review the phone looks premium i bought two of them and both the colours grey and blue are beautiful it's a lightweight phone that gives,positive
the mobile is very nice but the camera quality is very low and the battery backup is low,negative
the phone is very good the delivery is very good the features are very good the charging is also very good the video quality is very good when compared to other phones it is amazing except for the sound quality and i noticed,positive
won't say it's pricey definitely not that cheap either this phone is very dear to me for my day to day usage it fits into me like a ribbon and a gift sweet performance and the battery and charging is legit the,positive
the mobile ui and themes are not good camera clarity is not good the battery will leads to half day in heavy use and full day battery life when it is less use in this 25000 price range the features are very less the other,negative
product service at oneplus store is not good after just 20 days since i bought i had an issue in speaker during calling voice interrupt in upper speaker when i reached the service center it worked there so they didn't accept,neutral
i ordered this phone reading reviews online but all is part of oneplus marketing hype 1 camera quality is same as poco or most mi phone in 20k price segment2 battery charging superfast but draining the way a 20,neutral
the phones look outstanding but remember we don't invest 25k just for that the screen went off with in 40 days of usage and when i sent it to the service centre located somewhere in bengaluru through the repair request placed,negative
camera quality of phone is very good it's light weight nicely designed back cover is provided with the phone the only thing annoying me is the phone is getting heated while taking for more the 7,neutral
,
oneplus kinda pulled this one out by a miracle so the reason for this statement is because it feels too good to be true on the surface and if you are someone like me then there's a high chance you have watched every review of this phone,neutral
was having high expectations while buying i own a samsung s20 fe 5g and this oneplus nord ce2 was bought as a gift for mom i should say that i was disappointed there is a slight lag issue many already reported,neutral
i recently bought this phone 2 days back and i have exchanged my redmi note 7s for this which i was using for past 3 years the exchange process was smooth and the delivery agent was helpful and very patient coming to the model,positive
i have used the phone for more than 4 months the battery backup is not up to the mark initially the battery gets charged very quickly but now it takes time to get charged the camera quality is average and in low light it is worst,negative
battery life in average but takes very less time to recharge so it is okay camera is better than other phones of this range display is smooth and processor is as expected by one plus i have previously used one plus 3t for,neutral
pros 1 premium looks2 supervooc fast charging is really fast charges within half an hour great battery backup 3 great cam4 awesome display5 on screen fingerprint sensor is fast 6 seamless ui,positive
it's nice mobile but the features it's shown about dedicated simcard slot is totally faild i hv insert 2 sim n micro sd card but after half or 1 hour sd card is got invisible it's not showing on,negative
i wanted to gift a phone to my parents after a research of almost 20 days i ended up taking 2 mobiles of this nord 2 5g 1 user friendly interface specially for elder ones 2 battery is,positive
bought this phone at 22k inr so consider this price for my review camera is hit and miss sometimes it takes amazing shot sometimes it just fumbles eis with 1080p60 is amazing,neutral
1 after one month use my genuine review this is my fourth phone in my lifei am not comapare but my bad experience oneplus if you want brand phone you buy it otherwise don't buy itplease go through other brand,negative
if you are a one plus fan just to remind you this is like their first copy it would have been better to buy a redmi or oppo plus for this amount one plus is one plus only when the mobile cost is 35 not,negative
camera quality i bought the oneplus nord 5g 2 days ago and found that the cam is worst than a mobile under 10k i raised an support request meanwhile and did factory reset to handover to amazon i'm not,negative
as mentioned in other reviews this phone indeed has decent camera quality compared to other phones in this budget band but i found other features that are unique to this phone mentioned below 1 nfc i know small feature but no other phone includes this,positive
it's a decent phone in its class but you get better options in same price in the market the wide angel camera is not that good no zoom option in 64 mp camera mode didn't like the slow motion video,negative
i have been using one plus since one plus 1 and last one phone i was using was one plus 6t i purchased this phone as it was cheap and one plus was giving almost everything thing in it but to my surprise,neutral
for those who have used phones with 6000mah batteries the one plus with a 4500mah battery would look a bit insufficient colour bahamas blue with a glass back is something that makes the phone eye,neutral
friends don't go for it especially from amazon i got defective handset which was having pixels and hardware issues technician of amazon also said it's can't be rectified since 15th april inam following for replacement or refund,negative
the phone is definatly good but price is a bit high no doubt its oneplus and oneplus give a robust hardware which can run upto 3 4 years without any problem my criteria 5g no need till,neutral
1 sound quality is good 2 slim and light weight 3 cam is best 4 charging speed is awesome bad 1 slider is missing 2 dolby speaker 3 wireless charging,neutral
overall this is slightly 'above average' phone camera is average battery is below average charging is excellent software is excellent display is just average,neutral
i bought it for my father who is an average user with only using phone for calling reading news watching youtube messaging just common stuff not gaming so i opted this over samsung which was the priority a52s,neutral
cameradisplaytouchselfi canperformance10 10a wonder phone don't care abt negative reviews just go through with this phone good battery backup nice camera display is osamm a wonder phone don't,neutral
i have ordered this item after doing lot of research for a good phone within my 25k budget i am not so camera enthusiastic gaming and chatting person and needed some good phone within my budget meeting my basic expecations like good battery,neutral
camera quality is worst any china phone can beat it's quality talking about gaming it heats up not good for video calls did not expect this from one plus proximity sensor issue phone gets muted while talking due to,negative
its a superb phone i had few problems with mine the front camera was the main problem it shows errors in some applications like g play i would love to have a replacement but the seller wouldn't let that happen so getting,negative
i am first time user of oneplus mobile i bought this mobile on 1 may 2022 this is 3rd day i did not find any issue like heating or battery getting darinout soon i am not gamer still the phone is really,positive
i am using this phone from last 15 days the performance that i got is outstanding i loved it my 25k worth it also a good quality of fingerprint sensor a camera quality somewhat ok according to price and also display is best in,positive
i am writing this review after using the phone for a week the phone and it's performance is awesome camera is also gud there are many hidden features which needs to be searched in youtube or google the charging speed is very good i have,positive
this is for the people who want to go with a stable brand if you want to buy iphone 11 but due to budget constraints you are not able to buy then this is the phone which is handy to use does all the necessary work,positive
i experienced a problem in searching for a phone no if you stored a no with 91 then this will not search with 91 not working well in comparison to samsung this phone is using basic google android software also while using,negative
do not exchange your mobile i have purchased nord ce with in exchange of nokia 6 1 plus for rs 3250 at the time of delivery delivery boy rejected saying there is scratches on side panel it has dents,negative
it's an average phone don't expect too much on this phone pros light weight battery will charge very fast cons battery is not even come for a full day use camera quality is not great touch of,neutral
pros battery life camera clarity is good smooth suitable for gaming gorilla glass cons android version 11 but not latest one 12 bit bulky battery life is good 4500mah but still will get 5000mah,neutral
writing this review after using for 2 months after using samsung m51 for an year thought of changing to oneplus as it is one of the best flagship brands i thought but it's not pros 1 great looks2,neutral
this is my first one plus phone liked this product very much pros battery back up fast charging display good refresh rate pages and apps loading very fast one speaker but very great sound and good clarity over call camera is,positive
the overall phone is good but camera has needs to improve but camera ok in this price range overall phone is best everything thing in this phone is perfect,neutral
this is only brand nothing else not worthy pricing is very high than other brands but the efficiency is same like generic brand camera quality not good and battery backup is only 8 hour,negative
i bought this phone on the 1st day of launch without knowing what i am going to get from it but after receiving the phone i'm quite happy the phone is fast light good in performance the only drawback for,positive
best phone for low budget buyers review after usage of more than amonth1 front camera decent enough 2 rear camera is excellent 3 processor is powerful and works smoothly whenever you are gaming 4 excellent purchase of oneplus for,positive
battery life is good easily lasts a day for my usage with frequent chat updates some music playing once or twice camera usage etc display quality photo quality sound quality are all above average however a bug that disappointed me is,neutral
mobile looks awesome and slim grip is good camera is average feel good in hand but back glass is still a problem in summer time as it looks very cheap when you see lots of finger prints on it with very less use every thing is fine,neutral
i opted for the exchange of the redmi note 5 pro for the purchase of the nord 2 ce at the time of exchange the delivery agent was ready to accept the exchange mobile phone i logged in the amazon app proceeded for exchange,positive
amazon is selling a defective product my one plus nord ce2 had defect in its 64 megapixel camera blur is coming in the photo at up right corner still they are not accepting return,negative
on the good side the phone's look and feel is good 2 camera quality is also okay 3 night photography is good 4 design is also good 5 fast charger is blessing 1,positive
i've been using this phone for 10 days everything is decent in this phone but the battery life is not good i think 25k is a lot for this phone i personally think i wasted my money as i could,negative
one plus nord is not up to three name of one plus the software is little buggy when a message is typed the app gets swapped with another one suddenly user would be stuck to know what had happened fingerprint reader disappears sometimes when,negative
everything is good on this phone in hand feel is awesome premium looks fingerprint sensor 3 5 is very good but if you use tempered glass you will feel a osecond lag amoled display 5 5,positive
phone is good but many feature is not upto mark we can lock apps bit cannot lock setting so no use of lock once you set calling sim as priority you cannot call from another sim from ui without chnage in setting many more all,negative
mediatek dimensity 900 works ok and sometime faces little bit hanging issuecall of duty works smoothly with medium graphics settingfingerprint works very welldevice have many 5g band supportrear camera quality is ok and selfy camera is goodbattery,positive
this was my first phone above 20k and tbh it's not bad i'm not much of a phone user except calls and messaging sometimes and maybe stream some media and spotify mostly but on average i register about,positive
for the first time i buying phones above 20k and on that basis i am writing this and also i am using this phone for a week slim easy to carry all of the features are great and the best part is the charger too,positive
as it is said to be trusted brand i don't feel it really small small features are missing speed dial is not there which is available in nokia 1100 phone also this is one example i was poco,negative
battery 8 10camera 6 10screen resolution 8 10finger print 8 10call recording notification 0 10 hell with privacy heating no issue at allram,neutral
everything is fine in this phone but the build quality looks much cheaper and camera quality is worst then 10k phones and genuinely my older phone realme 5 pro gives much better picture quality then this phone previously i have used oneplus x too and,negative
model one plus nord ce 2 grey 6 gb 128gbprice 18000 after exchangenot so smooth in operation there is time lag unlike other flagship phones of same range moreover the,negative
this model looks like oppo mobile every feature looks like oppo mobile that brand value of one plus already arised by oppo by this model don't buy this model better to go for 35k models this phone have cheap body and we,negative
pretty much everything is good as an android phone most things remain same refresh rate and charging speed are the top pros that i found and talking about top cons they will surely be nothing but i think there could have been better camera quality in this,positive
performance 9 10 camera 8 10 battery 8 10 will last for a day if you are heavy user in power saving mode battery performance good last for 72 hr lookwise 1,positive
i have used this mobile of 8gb ram for a month for 1 fans this mobile is awesome at below 25000 price this mobile looks stylish performance is too fast graphics is awesome for high end,positive
1 phone call problem while making a phone call sometimes the other speakers does not hear my voice and sometimes i can't hear the other speaker i bought on 13th may it's not even worth 5k phone,negative
having connectivity problem call snaps after sometime or the other side can't hear i have changed sim and provider but the same problem happens oneplus is not doing anything amazon please replace the phone as i bought on the faith of your brand,negative
best smartphone by one plus1 received my phone in just one day 2 battery back up too good 3 running all apps well smooth4 price range is also okk5 but this phone brightness is not up to the,positive
this phone feels like a solid product the os is nice and clean im coming from stock android the charging speed is amazing the screen bright smooth and responsive cameras decent inscreen finger print sensor is fast well balanced weight,positive
1 best camara2 wow quality screen3 easy to use4 good loud sound quality5 looks wise this phone is health hazard which releases more frequencies as recommended so not recommended to purchase,negative
the battery doesn't go well throughout the day you need to charge it twice for perfect usage the camera is also not upto the mark comparing with other oneplus models,negative
good phone but camera is average like 16000 phone they given mono speaker in this price range we can get dolby on other phone anyway performance is good very fast like blink of your eyes but much over,neutral
on the name of oneplus brand it's nothing but useless mobile camera is average funtouch os as usual not upto mark it's better u can opt for iooq if u want fast performer mobile vivo is just making,negative
review on 1st day the phone is superb amazing with camera sound the famous oxygen os the first day didn't disappoint me although i will write agai after 15 days of usage but till now it's amazing,positive
finger print sensor is not fast issues with data and wifi connectivity every screen even file manager takes time to load everytime suddenly the phone resets to the homescreen anytime nothing like other oneplus phones they reduced the quality with the price,negative
i have been using this phone for the past 3 to 4 days so i noticed a few pros and cons pros 1 light weight and the slimmest one 2 fast charging 3 offcourse very good display,positive
not a good one and also amazon focused on sales only not focused on customer satisfaction because i am suffering with this mobile 10th day of my new mobile using again bad experience with amazon,negative
i bought the phone on 28th feb what's good performance speed display fast charging speaker better than youtube review what's bad camera real disappointment don't buy if you use camera for selfies,negative
design in hand fells are looks premium glosssy back fells glass but it's shiny plastic body lite weight phonedisplay is ok ok type not feels amoled it's really smooth 90hz if u watching,positive
positives the size is perfect those 6 67 inches is too big to hold light weight amoled ambient display in display fingerprint processor 5g built in alexa look and feel design,positive
recommended for casual use quick battery charge battery life's for a day considering high usage of 8 9hrs as it is oxygen os no bloatware issues screen touch works good no delay seen disappointment is android,positive
everything went well until i opened the camera seriously are you sure it have 64mp cam wow it's a freaking scam can't believe i payed 25k for the crap don't get me wrong display is,negative
i purchased this phone few days back i was a samsung user first talking about one plus nord ce 2 cons its battery life is average gives one day backup on heavy use no stereo speakers that is major issue i faced,negative
good phoneissue 1 one hand mode not available2 torch intensity is very less and not custom 3 you have to awake phone before using thumb 4 auto speaker mode not available else good phone with good camera and running smoothly,negative
phone excellentcamera excellentbattery goodnegative only problem with one plus is it's accessory in case you lost its adapter or cable it's next to impossible to buy the original one plus need to improve for availablility of,negative
this phone is hanging many times i buyed already it's the 3 time from the month of march i buyed i am just repairing from the service center it's the worst phone ever the are not going to replace the phone and,negative
worst product as per the brand oneplus battery life is very poor drains very fast sound quality not good and even camera quality is very poor overall my suggestion is not to buy this model you can get very good quality mobiles,negative
i'm writing this review after using the phone for 2 months its front camera is not as expected it's sound system is also very low also it have a lot heating issues it hangs sometimes and also some time it slow,negative
definitely there are better devices in terms of hardware at this price point but oneplus nord ce 2 5g is worth considering good overall experience oxygen os is definitely the best screen is awesome camera is okay battery is so so,positive
exceptcall recording it informs to receiverbuild quality back side very weekall other optionsbattery charging very fastfront and back camera goodmemory card slotsound quality is averagedisplay superback design is goodgorllaglass 5overall rating,positive
pros 1 its a oneplus device 2 best connectivity you can have 3 very sharp camera for outdoor photos 4 doesn't hang or lag 5 battery can last upto 1 and half day,positive
writing this review after using one and half month camera quality is not good apps are getting crashed contact widgets are disappearing after restart figer print option is disappearing sometimes battery is also not upto the mark over all i lost impression on,negative
ordered this mobile with great enthusiasm and it didn't let me down the expectations overall mobile is good performance is awesome value to money only concern is they told it will charge completely in 15mins but it's not the,positive
best budget mobile from oneplus screen brightness and refresh rate is best it's super amoled screen is really great and changes viewing experience to watch full hd videos performance is also good both front and rear cameras are best charging is ultra,positive
the phone is definitely smooth but after a month of usage i think the camera is really absurd night pictures are worst my friend is using note 10 pro and its camera is really well but don't go with that bcs you will,negative
this is an amazing phone for people looking at oneplus brand to start with i have previously owned one plus 2 and a one plus 5t and when i had to switch this time i didn't want to move away from oneplus brand,positive
great product from oneplus it is not meant for the heavy user but works excellent in performing day to day task camera quality is also good n the design of phone is also sleek and if u get fed up using samsung phone n want to switch to other,positive
price 25k is quite high compared to other phones mi samsung vivo oppo battery 4500mah is very low capacity for 25k battery back up max one dayfast charging,negative
beautiful phone one plus never disappoints sound quality battery backup and looks are supremely fantastic the picture was taken while it was dark outside,positive
there is no any mobile is coming with 3 5 mm audio jack and dedicated memory card slot plus dual 5g support of sim so according to my needs it is perfect for me sound is little bit less for music and videos because,positive
i purchased the one plus by seeing the brand image but the battery performance is worst than 10 000 mobile of other brands i am writing the review after using 3 days continuously even my friend is also facing the,negative
i received the product 3 months ago my personal experience is very great charging speed is very fast camera is not high quality but it's not bad also different features i've used that i don't used before it battery,neutral
i have updated this phone in exchange of oppo f11 pro it was totally worst decision it has heating issue after video recording of 30mins display is good battery backup is good rest everything in these phone is pathetic,negative
received my one plus nord ce 5g in my view one plus really need to work on their camera both rear and front camera really sucks you get better camera quality in the same price range i didn't expect this from brand like one plus,negative
the phone is very flimsy and the camera quality is the poorest i've seen on a one plus phone this was our 3rd one plus and be careful about amazon's no return policy they would've mentioned a 7,negative
dont buy one plus guys worst phone and the que in the support store will take hours i bought ce 2 one month prior i got display blotting problem the service centre asked me to pay 6400 though the phone was not damaged,negative
from near it's takes good pictures but from far it's takes very blurred pictures no clarity we took more than 100 pics and all are hazy and blurred invested lot of money for camera not worth a,negative
it's been two weeks since i bought this phone and suddenly when i was using it it turned off by itself and won't charge or reboot if there is no one plus service centre near you i suggest you not to buy it,negative
after using my all new one plus nord ce2 5g phone i an going to review it really awesome phone very smooth operating also good need some upgrade to perfect this phone,positive
i'm writing this review after using 30 days be to honest this is normal android phoneit's not like onepluscamera quality very lowsound also lowoverheatingbattery backup ok for one day normal use itsoverall price,negative
battery backup is not good when we use streaming video it is heating much more than usual battery drain faster when you use youtube netflix or any video streaming appcamera quality is ok and quality of oneplus of other model are ok but this is not good and,negative
my rating this phone 4 8advantages one of the best under 25k smartphone camera quality is good battery normal usage is one and half day solid and countiesly more than 9 hours usage pubg graphics to,positive
i got phone replaced one time still the same problem in new phone of call quality finally returning this phone and getting refund this problem was in 8 gb 128 gb silver grey edition not sure whether other people have also,negative
average phone hang problem phone hangs very frequently supervooc charger is too good and this phone is very good look wise as we all can see but performance wise it is taint on one plus mobiles,negative
just good phone battery backup is okay camera quality is good phone gets hang sometimes overall good phone,positive
let's talk about oneplus nord ce2price 24k not worthyonly us toes brand value fast charging phone with fast draining battery average camera's poor build quality and still running on android 11 most,negative
till now i am using from last 3 months and it gives me a wonderful experience apart from one sound issue from phone call despite that issue i have done factory reset to resolve that issue however overall a wonderful experience with phone talking about quality of,positive
only the branding is oneplus not much good features are included in fingerprint is not very fast heating while video calls sometimes hanging in phone overall not good features like oneplus known for,negative
i dont know but the setting keeps on changing also you cannot use third prty call recording app in this phone it wont allow permission and the inbuild call recoirder shouts when you start call recording this is default features on phone,negative
phone performance is good but the major issue is heating it's heat up and even you can't talk to when you put phone on your ear also i phase that sometime when phone is in my paint pocket i feel some heat and,negative
this is my first oneplus phone and i'm utterly disappointed for 23k it only comes with a good camera the rest of the aspects look like nothing more than a 10 11k phone i bought this phone,negative
one plus phones are very sturdy they are like samsung apple top model phones but half the price software and photos are too good i like my ear phone jack which are becoming less in high end phones go for it,positive
the performance of the phone is very good it's been two weeks now and haven't seen any issues cameras are really good and nice pictures battery capacity could have been better with more mah say 5000 mah and,positive
this is an ok ok model not so special one to go for it the cam is ok the phone gets heated while charging the phone charges fast if you are a gamer don't go for this if you are a mild user of,neutral
the product is really impressive the back is steel body and has got good grip also the screen and features are fantastic one plus is the finest maker compared to other bbk electronics products i got good feedback from oneplus hence purchased no regret,positive
battery life is shorter charging takes time despite having bigger charger camera despite high pixel clarity is not up to the mark sound quality and catching the network too is not satisfactory,negative
after using for almost 2 months i regret buying this phone first of all the battery is only 4500mh which gets dried very fast if you are using the for 70 80 calls per day,negative
i like the phone it's been more than 2 months since i bought it i have zero complaints about it and the camera battery sensors gestures fingerprint face recognition are all features that are absolutely amazing wait proper response,positive
the worst product i've so far i purchased it just because of the brand but it was a mistake for me and i will remember it forever the camera is just sooo bad i have photos from 2011 clicked on my,negative
this mobile is awesome whatever features company is providing in this mobile is more feasible than any other mobile available in india no one can compare with this its really great combination of mobile and entertainment in one set any one can accept the challenge and,positive
i'm writing this review after using the phone about 2 weeks it's not like other oneplus camera quality the battery backup of the phone is same like my previous phone i used my phone not 5 pro approx,neutral
,neutral
good phone from one plus lite phone easy to handle superb touch and scroll experience battery back up is satisfactory camera picture quality is ok could have been better charging is really fast,positive
switched from apple after 15 years really happy that i dont have to charge my phone 3 times a day battery life is way too good only problem is the the mirror at back of phone is very delicate should have been,positive
